"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Token_ID","Method"
"0xcacce3c8351b14e284556a1a19f59b60d58fe6325fea65b28d803b3528fdde9a","13083677","1629750143","2021-08-23 20:22:23","0x2536c09e5f5691498805884fa37811be3b2bddb4","0xae7f458667f1b30746354abc3157907d9f6fd15e","15", "Transfer From"
"0x4b1c01423a1054c012a0c6d28752ad24bec778189a0d85ec50753a0378f85d5f","13083991","1629753952","2021-08-23 21:25:52","0x830bd73e4184cef73443c15111a1df14e495c706","0xa58899bbc983781d47c7dd5a6b8aeef53cd34bbc","16", "Settle Current And Create New Auction"
"0x4b1c01423a1054c012a0c6d28752ad24bec778189a0d85ec50753a0378f85d5f","13083991","1629753952","2021-08-23 21:25:52","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","17", "Settle Current And Create New Auction"
"0x4b1c01423a1054c012a0c6d28752ad24bec778189a0d85ec50753a0378f85d5f","13083991","1629753952","2021-08-23 21:25:52","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","17", "Settle Current And Create New Auction"
"0x5d77338426379afa706d99c9729f6db85f0f8b5b17fe19e169f89547c67ed253","13090596","1629841445","2021-08-24 21:44:05","0x830bd73e4184cef73443c15111a1df14e495c706","0xd049b3064990869c9f73bd7896271d83325d2067","17", "Settle Current And Create New Auction"
"0x5d77338426379afa706d99c9729f6db85f0f8b5b17fe19e169f89547c67ed253","13090596","1629841445","2021-08-24 21:44:05","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","18", "Settle Current And Create New Auction"
"0x5d77338426379afa706d99c9729f6db85f0f8b5b17fe19e169f89547c67ed253","13090596","1629841445","2021-08-24 21:44:05","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","18", "Settle Current And Create New Auction"
"0x98ae92d6441407c86fbd77663656001fd7f10794b2a6e3abad29545bff408e56","13097031","1629928377","2021-08-25 21:52:57","0x830bd73e4184cef73443c15111a1df14e495c706","0xc3b80922832450aabafe6aae8a6aaf1e5e6158ea","18", "Settle Current And Create New Auction"
"0x98ae92d6441407c86fbd77663656001fd7f10794b2a6e3abad29545bff408e56","13097031","1629928377","2021-08-25 21:52:57","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","19", "Settle Current And Create New Auction"
"0x98ae92d6441407c86fbd77663656001fd7f10794b2a6e3abad29545bff408e56","13097031","1629928377","2021-08-25 21:52:57","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","19", "Settle Current And Create New Auction"
